 1	Christopher Nolan

 2	Drew Goddard

 3x	drama, action film, spaghetti western, melodrama, flashback film

 4x	2010-01-01T00:00:00Z, 2011-08-11T00:00:00Z

 5x	Answer not found

 6	France

 7	116

 8x	1887-01-16T00:00:00Z

 9	London

10 1998-06-01T00:00:00Z, 1998-11-12T00:00:00Z

11x	inception

12	Christopher Nolan

13	Steven Spielberg

14	Brampton

15x	1923-10-16T00:00:00Z

16	The name is Bond, James Bond

17	serial killer

18	drama, crime film, neo-noir, thriller film, black comedy film

19x	Answer not found

20	Rory Nolan, Flora Nolan, Magnus Nolan

21	Speed, Twister, The Haunting, Speed 2: Cruise Control, Lara Croft: Tomb Raider � The Cradle of Life

22	BAFTA Award for Best Actor in a Supporting Role, Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie, Golden Globe Award, Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie, James Joyce Awards

23	screenwriter, actor, songwriter, stage actor, film director, film producer, television actor

24x	Error encoutered while searching!

25	Andrew Adamson, Vicky Jenson

26	telepresence, dream world

27x	Joel Coen, Ethan Coen

28x	Answer not found

29	Jaden Smith, Willow Smith, Trey Smith

30x	85

31	6

32x	Error encoutered while searching!

33	5

34x	0

35	"itemLabel	Joaquin Phoenix"

36	"itemLabel	Roy Karch"

37x	2007-06-21T00:00:00Z, 2007-08-09T00:00:00Z

38x	1996-05-12T00:00:00Z

39x	Robin Scherbatsky, Lesbian Robin, Let's Go to the Mall, Sandcastles in the Sand, P.S. I Love You (Robin Daggers song), Maria Hill, Leigh Ostin

40x	Lithuania, Paris, Melville

41x	On the Waterfront, The Last Emperor, Patton, The Graduate, A Man for All Seasons, Guillermo del Toro, The French Connection, Sam Mendes, Lawrence of Arabia, Annie Hall, Marty, The Lost Weekend, How Green Was My Valley, The Treasure of the Sierra Madre, John G. Avildsen, Barry Levinson, Delbert Mann, The Apartment, All Quiet on the Western Front, West Side Story, The Awful Truth, Lewis Milestone, Tom Hooper, Bob Fosse, Tom Jones, Leo McCarey, Jerome Robbins, Frank Borzage, Skippy, The Informer, Going My Way, The Quiet Man, Born on the Fourth of July, Mr. Deeds Goes to Town, Mrs. Miniver, Schindler's List, Bong Joon-ho, Ordinary People, Gigi, Reds, You Can't Take It With You, The Best Years of Our Lives, Giant, The Grapes of Wrath, A Place in the Sun, Cavalcade, Bad Girl, Gentleman's Agreement, Cabaret, The Divine Lady, A Letter to Three Wives, Gravity, Birdman, Joel Coen, Ethan Coen, The Revenant, Damien Chazelle, La La Land, Chlo� Zhao, The Shape of Water, Roma, Parasite, Gone with the Wind, Peter Jackson, Steven Spielberg, Kevin Costner, Dances with Wolves, Woody Allen, American Beauty, Alfonso Cuar�n, Michel Hazanavicius, Frank Lloyd, Kathryn Bigelow, Martin Scorsese, Mel Gibson, James Cameron, Clint Eastwood, Titanic, Jonathan Demme, John Ford, George Stevens, Michael Curtiz, Frank Capra, William Wyler, Franklin J. Schaffner, Richard Attenborough, Sydney Pollack, Milo� Forman, Vincente Minnelli, Mike Nichols, Billy Wilder, Roman Polanski, George Roy Hill, John Huston, William Friedkin, Joseph L. Mankiewicz, Tony Richardson, Bernardo Bertolucci, Alejandro Gonz�lez I��rritu, David Lean, John Schlesinger, Fred Zinnemann, George Cukor, Francis Ford Coppola, Robert Benton, Michael Cimino, Robert Redford, Robert Wise, The Sound of Music, Midnight Cowboy, Victor Fleming, The Sting, The English Patient, Elia Kazan, Warren Beatty, Norman Taurog, James L. Brooks, Carol Reed, Ron Howard, Steven Soderbergh, Unforgiven, Slumdog Millionaire, The Lord of the Rings: The Return of the King, Casablanca, The Silence of the Lambs, Forrest Gump, Danny Boyle, Oliver!, Traffic, The Pianist, Life of Pi, The King's Speech, Brokeback Mountain, Ang Lee, Braveheart, A Beautiful Mind, Saving Private Ryan, One Flew Over the Cuckoo's Nest, The Artist, The Departed, Oliver Stone, Ben-Hur, The Hurt Locker, No Country for Old Men, Million Dollar Baby, The Godfather Part II, Terms of Endearment, Robert Zemeckis, Rocky, The Bridge on the River Kwai, Anthony Minghella, Rain Man, Platoon, Amadeus, Kramer vs. Kramer, All About Eve, My Fair Lady, The Deer Hunter, Gandhi, From Here to Eternity, Out of Africa, It Happened One Night

42x	No

43	No

44x	No

45x	No

46x	No

47	No

48x	Answer not found

49	1954-12-28T00:00:00Z

50x	Answer not found

